matchid,player_id,name,position,role,team,fpoints_projected,bat_fpoints,ball_fpoints,team_fpoints,runs_projected,wickets_projected,matchnumber,opponent
89661,13914,Atharva Taide,ROOKIE ,BATSMEN,KXIP,8.389999135864118,6.95,1.439999135864118,0.0,23.0,0.239999855977353,1.0,DC
89661,2244,Rilee Rossouw,BATSMEN,BATSMEN,KXIP,6.2124999999999995,6.2124999999999995,0.0,0.0,19.25,0.0,1.0,DC
89661,1446,Shikhar Dhawan,BATSMEN,BATSMEN,KXIP,19.8,19.8,0.0,0.0,54.0,0.0,1.0,DC
89661,8616,Rishi Dhawan,ALL ROUNDER,ALL ROUNDER,KXIP,5.271794467355647,0.0,5.271794467355647,0.0,0.0,0.8786324112259412,1.0,DC
89661,9354,Sikandar Raza,ALL ROUNDER,ALL ROUNDER,KXIP,2.638636314869202,0.0,2.638636314869202,0.0,0.0,0.43977271914486693,1.0,DC
89661,14452,Harpreet Brar,ROOKIE ,ALL ROUNDER,KXIP,5.756704506760981,0.0,5.756704506760981,0.0,0.0,0.9594507511268301,1.0,DC
89661,6670,Chris Woakes,ALL ROUNDER,ALL ROUNDER,KXIP,2.1598693258284443,0.0,2.1598693258284443,0.0,0.0,0.35997822097140736,1.0,DC
89661,10919,Shashank Singh,ROOKIE ,BATSMEN,KXIP,0.239999999976,0.0,0.239999999976,0.0,0.0,0.039999999996,1.0,DC
89661,12335,Tanay Thyagarajan,ROOKIE ,ALL ROUNDER,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DC
89661,41295,Shivam Singh,ROOKIE ,BATSMEN,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DC
89661,14254,Prabhsimran Singh,ROOKIE ,WICKET KEEPER,KXIP,21.974999999999998,21.974999999999998,0.0,0.0,61.5,0.0,1.0,DC
89661,9585,Kagiso Rabada,BOWLER,BOWLER,KXIP,10.019194127869124,0.0,10.019194127869124,0.0,0.0,1.6698656879781875,1.0,DC
89661,8175,Harshal Patel,BOWLER,BOWLER,KXIP,10.713491069688633,0.0,10.713491069688633,0.0,0.0,1.7855818449481053,1.0,DC
89661,12087,Rahul Chahar,BOWLER,BOWLER,KXIP,7.644584168980748,0.0,7.644584168980748,0.0,0.0,1.2740973614967912,1.0,DC
89661,15480,Nathan Ellis,BOWLER,BOWLER,KXIP,3.5997357064105,0.0,3.5997357064105,0.0,0.0,0.5999559510684166,1.0,DC
89661,13977,Vidhwath Kaverappa,ROOKIE ,BOWLER,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DC
89661,53478,Prince Choudhary,ROOKIE ,OTHERS,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DC
89661,53496,Vishwanath Singh,ROOKIE ,OTHERS,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DC
89661,53504,KXIP,TEAM,TEAM,KXIP,-0.2,0.0,0.0,-0.2,0.0,0.0,1.0,DC
89661,10214,Jitesh Sharma,WICKET KEEPER,WICKET KEEPER,KXIP,5.0,5.0,0.0,0.0,16.0,0.0,1.0,DC
89661,6507,Jonny Bairstow,WICKET KEEPER,WICKET KEEPER,KXIP,8.9,8.9,0.0,0.0,30.0,0.0,1.0,DC
89661,10420,Sam Curran,ALL ROUNDER,ALL ROUNDER,KXIP,7.599996613438924,0.0,7.599996613438924,0.0,0.0,1.2666661022398207,1.0,DC
89661,13217,Arshdeep Singh,BOWLER,BOWLER,KXIP,9.538106656120547,0.0,9.538106656120547,0.0,0.0,1.5896844426867578,1.0,DC
89661,10045,Liam Livingstone,ALL ROUNDER,ALL ROUNDER,KXIP,4.900670724337016,1.0625,3.838170724337016,0.0,4.25,0.639695120722836,1.0,DC
89661,10754,Mukesh Kumar,BOWLER,BOWLER,DC,8.071102350528669,0.0,8.071102350528669,0.0,0.0,1.3451837250881113,1.0,KXIP
89661,15779,Kumar Kushagra,ROOKIE ,WICKET KEEPER,DC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KXIP
89661,19243,Tristan Stubbs,WICKET KEEPER,WICKET KEEPER,DC,0.239999999976,0.0,0.239999999976,0.0,0.0,0.039999999996,1.0,KXIP
89661,8808,Axar Patel,ALL ROUNDER,ALL ROUNDER,DC,18.080021378045366,3.15,14.930021378045366,0.0,11.0,2.4883368963408943,1.0,KXIP
89661,13252,Lalit Yadav,ROOKIE ,ALL ROUNDER,DC,1.4399960585745912,0.0,1.4399960585745912,0.0,0.0,0.2399993430957652,1.0,KXIP
89661,14650,Sumit Kumar,ROOKIE ,ALL ROUNDER,DC,0.9599999157147884,0.0,0.9599999157147884,0.0,0.0,0.15999998595246473,1.0,KXIP
89661,52418,Swastik Chikara,ROOKIE ,ALL ROUNDER,DC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KXIP
89661,1739,David Warner,BATSMEN,BATSMEN,DC,26.25,26.25,0.0,0.0,73.0,0.0,1.0,KXIP
89661,12094,Prithvi Shaw,BATSMEN,BATSMEN,DC,24.4,24.4,0.0,0.0,68.0,0.0,1.0,KXIP
89661,12201,Harry Brook,BATSMEN,BATSMEN,DC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KXIP
89661,22556,Yash Dhull,ROOKIE ,BATSMEN,DC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KXIP
89661,9425,Ricky Bhui,ROOKIE ,BATSMEN,DC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KXIP
89661,8292,Kuldeep Yadav,BOWLER,BOWLER,DC,12.437664952636394,0.0,12.437664952636394,0.0,0.0,2.0729441587727324,1.0,KXIP
89661,11427,Anrich Nortje,BOWLER,BOWLER,DC,7.705352421662969,0.0,7.705352421662969,0.0,0.0,1.2842254036104948,1.0,KXIP
